,bollinger_daily,williams_r_daily,bollinger,williams_r
149,0.004694263885016432,0.004694263885016432,-0.10302747101443416,-0.22256148319043711
150,0.014223925972804627,0.0,-0.08880354504162953,-0.22256148319043711
151,-0.0036013462728988594,-0.0,-0.09240489131452839,-0.22256148319043711
152,-0.011858155389766126,-0.0,-0.10426304670429452,-0.22256148319043711
153,0.00695499305679455,0.0,-0.09730805364749998,-0.22256148319043711
154,0.005718518717455091,0.0,-0.09158953493004489,-0.22256148319043711
155,0.0,-0.012073967067028334,-0.09158953493004489,-0.23463545025746546
156,-0.0,0.001090014061236015,-0.09158953493004489,-0.23354543619622944
157,0.0,-0.008863934538365823,-0.09158953493004489,-0.24240937073459526
158,-0.0,0.0008444210259226485,-0.09158953493004489,-0.24156494970867262
159,0.0,-0.000885134704343504,-0.09158953493004489,-0.24245008441301613
160,-0.0,0.00946062188775602,-0.09158953493004489,-0.23298946252526012
161,0.0,-0.002145722171431905,-0.09158953493004489,-0.23513518469669203
162,-0.0,0.0014738910717248775,-0.09158953493004489,-0.23366129362496715
163,0.0,-0.0017115663547436497,-0.09158953493004489,-0.2353728599797108
164,-0.0,0.0010591031445650277,-0.09158953493004489,-0.23431375683514577
165,0.0,-0.0056902905476296645,-0.09158953493004489,-0.24000404738277542
166,0.0,-0.004920982715130942,-0.09158953493004489,-0.24492503009790637
167,-0.0,0.0007109356821210172,-0.09158953493004489,-0.24421409441578534
168,0.0,-0.004256457021488124,-0.09158953493004489,-0.24847055143727348
169,-0.0,0.005166461339779016,-0.09158953493004489,-0.24330409009749446
170,0.0,-0.011133858758395883,-0.09158953493004489,-0.25443794885589033
171,0.0,-0.004196017553487096,-0.09158953493004489,-0.2586339664093774
172,0.0,-0.001111403336781824,-0.09158953493004489,-0.25974536974615925
173,-0.0,2.557412579422806e-06,-0.09158953493004489,-0.2597428123335798
174,-0.006628710689517899,-0.006628710689517899,-0.09821824561956279,-0.26637152302309774
175,-0.000232682795124281,-0.000232682795124281,-0.09845092841468707,-0.26660420581822203
176,-0.00037028687713534575,-0.00037028687713534575,-0.09882121529182242,-0.2669744926953574
177,-0.0,-0.0,-0.09882121529182242,-0.2669744926953574
178,-0.0033259174293270776,-0.0033259174293270776,-0.10214713272114949,-0.2703004101246845
179,5.862813298714114e-05,5.862813298714114e-05,-0.10208850458816235,-0.27024178199169735
180,-0.008024260435807973,-0.008024260435807973,-0.11011276502397033,-0.2782660424275053
181,-0.0011187356670637344,-0.0011187356670637344,-0.11123150069103406,-0.279384778094569
182,0.0036453262047548467,0.0036453262047548467,-0.10758617448627922,-0.2757394518898142
183,0.00404272968588436,0.00404272968588436,-0.10354344480039486,-0.2716967222039298
184,0.0019697567678029584,0.0019697567678029584,-0.1015736880325919,-0.26972696543612684
185,-0.003937511410464156,-0.003937511410464156,-0.10551119944305605,-0.273664476846591
186,-0.00684654066485437,-0.00684654066485437,-0.11235774010791041,-0.28051101751144536
187,-0.001967079886535058,-0.001967079886535058,-0.11432481999444548,-0.2824780973979804
188,-0.0015048997949810158,-0.0015048997949810158,-0.1158297197894265,-0.28398299719296144
189,0.003997650901860422,0.003997650901860422,-0.11183206888756607,-0.279985346291101
190,-0.0,-0.0,-0.11183206888756607,-0.279985346291101
191,-0.0,-0.0,-0.11183206888756607,-0.279985346291101
192,0.0,0.0,-0.11183206888756607,-0.279985346291101
193,0.0,0.0,-0.11183206888756607,-0.279985346291101
194,0.0,-0.012185636983823285,-0.11183206888756607,-0.2921709832749243
195,-0.0,0.0037644373394009035,-0.11183206888756607,-0.2884065459355234
196,-0.0,0.000998900392322735,-0.11183206888756607,-0.28740764554320064
197,0.0,-0.0010609130016857146,-0.11183206888756607,-0.28846855854488634
198,0.0,-0.007908982879012922,-0.11183206888756607,-0.29637754142389927
199,0.0,-0.00011837316895386769,-0.11183206888756607,-0.2964959145928531
200,0.0,-0.0035723621620809497,-0.11183206888756607,-0.3000682767549341
201,0.0,-0.0011074391245437898,-0.11183206888756607,-0.3011757158794779
202,-0.0,0.000986333959343327,-0.11183206888756607,-0.30018938192013456
203,0.0,-0.00487553660762153,-0.11183206888756607,-0.3050649185277561
204,0.0,-0.002753251137963462,-0.11183206888756607,-0.30781816966571957
205,0.0,-0.0033891813570883257,-0.11183206888756607,-0.3112073510228079
