,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,Daily_return,Cum_return
47,2019-05-09,25878.84961,25884.89063,25517.39063,25828.35938,25828.35938,334760000,05/09/2019,-0.00535175158831724,-0.021026756330940935
48,2019-05-10,25763.7207,26019.32031,25469.85938,25942.36914,25942.36914,294580000,05/10/2019,0.004414130929596705,-0.01661262540134423
49,2019-05-13,25568.06055,25568.06055,25222.50977,25324.99023,25324.99023,361240000,05/13/2019,-0.02379809286762772,-0.040410718268971954
50,2019-05-14,25384.0293,25688.96094,25384.0293,25532.05078,25532.05078,291570000,05/14/2019,0.008176135434584212,-0.032234582834387744
51,2019-05-15,25400.13086,25724.89063,25341.93945,25648.01953,25648.01953,270720000,05/15/2019,0.0045420852010384415,-0.027692497633349304
52,2019-05-16,25692.14063,25957.63086,25692.14063,25862.67969,25862.67969,320960000,05/16/2019,0.008369463371193847,-0.019323034262155456
53,2019-05-17,25719.94922,25948.74023,25657.7793,25764.0,25764.0,283760000,05/17/2019,-0.0038155245776081,-0.023138558839763557
54,2019-05-20,25655.31055,25751.71094,25560.55078,25679.90039,25679.90039,279560000,05/20/2019,-0.003264229545101736,-0.026402788384865292
55,2019-05-21,25782.33984,25898.26953,25779.60938,25877.33008,25877.33008,260870000,05/21/2019,0.007688101861831282,-0.01871468652303401
56,2019-05-22,25818.46094,25878.21094,25755.10938,25776.60938,25776.60938,241760000,05/22/2019,-0.003892236938224271,-0.022606923461258283
57,2019-05-23,25657.99023,25657.99023,25328.08984,25490.4707,25490.4707,316940000,05/23/2019,-0.011100710562111952,-0.033707634023370237
58,2019-05-24,25551.07031,25670.81055,25496.19922,25585.68945,25585.68945,201370000,05/24/2019,0.0037354645632338202,-0.029972169460136415
59,2019-05-28,25616.55078,25717.63086,25342.2793,25347.76953,25347.76953,358980000,05/28/2019,-0.009298945039763244,-0.03927111449989966
60,2019-05-29,25231.46094,25231.46094,24938.24023,25126.41016,25126.41016,298930000,05/29/2019,-0.008732893430248967,-0.048004007930148626
61,2019-05-30,25139.93945,25218.53906,25066.75,25169.88086,25169.88086,215240000,05/30/2019,0.0017300800123530927,-0.04627392791779553
62,2019-05-31,25046.31055,25046.31055,24809.50977,24815.03906,24815.03906,292230000,05/31/2019,-0.014097873644047194,-0.06037180156184273
63,2019-06-03,24830.16016,24935.21094,24680.57031,24819.7793,24819.7793,328240000,06/03/2019,0.00019102287078967732,-0.06018077869105305
64,2019-06-04,24962.82031,25343.76953,24962.82031,25332.17969,25332.17969,281690000,06/04/2019,0.020644840705735145,-0.039535937985317904
65,2019-06-05,25451.0,25544.66016,25373.58008,25539.57031,25539.57031,262660000,06/05/2019,0.008186844659161594,-0.03134909332615631
66,2019-06-06,25567.44922,25800.30078,25518.05078,25720.66016,25720.66016,248070000,06/06/2019,0.007090559778489879,-0.024258533547666432
67,2019-06-07,25768.7207,26072.75,25768.7207,25983.93945,25983.93945,263010000,06/07/2019,0.010236101576018111,-0.014022431971648321
68,2019-06-10,26090.2207,26210.60938,26054.31055,26062.67969,26062.67969,249280000,06/10/2019,0.003030342652680372,-0.01099208931896795
