,Date,term_5,term_20,term_60,acc_dist_index,chaikin_money_flow,ease_of_move,williams_r,rel_strength,predict_term_5,predict_term_20,predict_term_60
56,5/22/2019,1.0,1.0,6.0,3109362200.04549,0.18218762151765897,-1134.4374463104793,-57.7813161612709,44.371059519001335,1.0,1.0,6.0
57,5/23/2019,1.0,5.0,6.0,3104425406.640065,0.16360760028257543,-33685.36803475384,-78.6274102464414,38.6581142813127,1.0,1.0,6.0
58,5/24/2019,1.0,6.0,6.0,3109464092.8931355,0.11331746788190859,7844.360022222878,-65.55549024136788,41.36367684744815,1.0,5.0,6.0
59,5/28/2019,1.0,6.0,6.0,2760985622.527919,0.06105783864397066,-5599.198519261651,-86.01371359907336,36.97528859414465,1.0,6.0,6.0
60,5/29/2019,2.0,6.0,6.0,2845723182.5368943,0.03043924661685017,-43660.3405640424,-82.59426535728971,33.422446302474526,2.0,6.0,6.0
61,5/30/2019,4.0,6.0,6.0,2922966531.5529613,0.09553706503583215,4075.677655287849,-78.5732218838033,34.748431631820665,1.0,5.0,6.0
62,5/31/2019,5.0,6.0,6.0,2644383652.282037,0.05069203028888467,-17400.426482157254,-99.51840532778658,29.571148651287984,5.0,6.0,6.0
63,6/3/2019,6.0,6.0,6.0,2675033424.7240815,0.02817160324874139,-9310.824398216888,-89.09926471379929,29.721787726813005,5.0,6.0,6.0
64,6/4/2019,6.0,6.0,6.0,2939583386.8492165,0.03329178245994238,46711.45470726713,-48.9758430013361,43.731938113969946,6.0,6.0,5.0
65,6/5/2019,5.0,6.0,6.0,3186614448.6233273,0.09275316622477112,19919.515602686282,-32.73615726364747,48.23037329264368,5.0,5.0,6.0
66,6/6/2019,4.0,6.0,6.0,3294691898.732093,0.1273556737094018,22762.00670576874,-17.984977123570314,51.85016821886418,4.0,6.0,6.0
67,6/7/2019,4.0,5.0,6.0,3404045242.9064884,0.10738540594499878,30235.265950116118,-6.379244765451094,56.60125907913633,4.0,1.0,6.0
68,6/10/2019,3.0,5.0,6.0,3181461018.162139,0.031006768835808045,13275.15629280369,-9.668360298799469,57.938017771480354,5.0,5.0,6.0
69,6/11/2019,4.0,5.0,5.0,3028718528.227563,0.030566792102307182,-856.3956927450473,-12.764504800814251,57.59421443002539,4.0,5.0,5.0
70,6/12/2019,4.0,5.0,6.0,2972361571.347893,0.022168495970023558,-5705.37838727495,-15.550022361143268,56.481585941031675,4.0,5.0,6.0
71,6/13/2019,4.0,5.0,6.0,3072453970.395988,0.010920750751597704,3608.564583918092,-9.049194904142523,58.496707679856804,4.0,5.0,6.0
72,6/14/2019,5.0,5.0,6.0,3106906674.66639,0.0003749023408794726,324.39835199935965,-10.143522706443276,58.00974835487479,5.0,5.0,6.0
73,6/17/2019,5.0,5.0,5.0,3123211113.9711804,0.01825320654640467,1895.5058418568167,-8.681885967690652,58.50658898283941,5.0,5.0,6.0
74,6/18/2019,4.0,5.0,5.0,3284081916.2944465,0.035872376034906124,29526.331674298246,-3.3385546951496687,65.31398912579962,4.0,5.0,5.0
75,6/19/2019,4.0,5.0,1.0,3320215595.9535923,0.010354285977129632,7378.67961149258,-3.4803465413075645,65.96906837806725,4.0,5.0,1.0
76,6/20/2019,3.0,4.0,1.0,3500711997.282756,0.07515335002203911,16454.11898492603,-2.146347515891404,69.93109591981143,3.0,4.0,1.0
77,6/21/2019,2.0,4.0,0.0,3079066248.0341315,-0.00471713171872883,5704.338388149661,-9.680306151015904,68.75347654015823,3.0,4.0,0.0
78,6/24/2019,3.0,4.0,0.0,2869984562.253705,-0.044290729340988495,-1491.146903448492,-11.724564002301582,68.89282601182246,3.0,4.0,0.0
79,6/25/2019,3.0,4.0,0.0,2639472475.8531485,-0.022797236612485377,-9948.994751560229,-25.850694149035636,62.492020956940166,3.0,4.0,0.0
80,6/26/2019,4.0,5.0,1.0,2367306767.455906,-0.09017231199623595,-1884.9356548622904,-32.5428654695211,62.09700839055307,4.0,5.0,0.0
81,6/27/2019,4.0,5.0,1.0,2333551563.581779,-0.11043379255146982,-3557.8719894933947,-40.13760468463146,61.71962368301366,4.0,5.0,0.0
82,6/28/2019,4.0,4.0,1.0,2502622977.204165,-0.02556830870084406,1023.5155034232935,-32.40279226618032,63.434538105873195,4.0,4.0,1.0
83,7/1/2019,3.0,4.0,0.0,2432404082.530997,-0.04424458537900321,17748.80607330799,-20.020833996954277,66.05605579664089,3.0,4.0,0.0
84,7/2/2019,3.0,4.0,0.0,2649180428.503405,-0.05356604536573804,-3060.499351439225,-13.12870310470368,67.53378710561904,3.0,4.0,0.0
85,7/3/2019,3.0,4.0,0.0,2799020428.503405,-0.07301274919468542,16938.09255915659,-0.0,71.04856330449982,4.0,4.0,0.0
86,7/5/2019,4.0,2.0,0.0,2940485845.6072955,-0.06743339649946276,-6411.063283562998,-4.7894452475086355,69.07779819970409,3.0,2.0,0.0
87,7/8/2019,4.0,1.0,0.0,3004750212.1946955,-0.07672907376532366,-2202.502535624958,-21.654112510232398,64.02301251620457,4.0,1.0,0.0
88,7/9/2019,4.0,1.0,0.0,3148703383.6282926,-0.006332412760432942,-3604.4953978699077,-33.12642315747376,63.05261341241104,4.0,1.0,0.0
